GAME_DATE_EST,HOME_TEAM_ID,SEASON,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS,TEAM_ID,NICKNAME
2021-04-01,1610612740,2020,110.0,0.441,0.8420000000000001,0.414,26.0,55.0,1610612753,115.0,0.425,0.87,0.2,20.0,48.0,0,1610612740,Pelicans
2021-03-27,1610612740,2020,112.0,0.519,0.655,0.346,20.0,42.0,1610612742,103.0,0.446,0.792,0.3229999999999999,19.0,38.0,1,1610612740,Pelicans
2021-03-26,1610612740,2020,108.0,0.5,0.9,0.414,30.0,37.0,1610612743,113.0,0.505,0.7140000000000001,0.5,28.0,36.0,0,1610612740,Pelicans
2021-03-23,1610612740,2020,128.0,0.522,0.923,0.345,28.0,53.0,1610612747,111.0,0.424,0.7,0.486,25.0,34.0,1,1610612740,Pelicans
2020-12-27,1610612740,2020,98.0,0.383,0.7240000000000001,0.208,15.0,56.0,1610612759,95.0,0.4270000000000001,1.0,0.306,26.0,47.0,1,1610612740,Pelicans
2021-03-14,1610612740,2020,135.0,0.654,0.81,0.462,38.0,40.0,1610612746,115.0,0.457,0.8420000000000001,0.349,23.0,32.0,1,1610612740,Pelicans
2021-03-12,1610612740,2020,116.0,0.465,0.8420000000000001,0.25,25.0,70.0,1610612739,82.0,0.341,0.75,0.2189999999999999,13.0,33.0,1,1610612740,Pelicans
2021-03-11,1610612740,2020,105.0,0.43,0.542,0.188,28.0,51.0,1610612750,135.0,0.537,0.875,0.475,28.0,38.0,0,1610612740,Pelicans
2021-03-04,1610612740,2020,93.0,0.3929999999999999,0.8,0.256,28.0,44.0,1610612748,103.0,0.493,0.84,0.3329999999999999,27.0,41.0,0,1610612740,Pelicans
2021-03-03,1610612740,2020,124.0,0.5539999999999999,0.684,0.273,29.0,35.0,1610612741,128.0,0.511,0.909,0.429,28.0,45.0,0,1610612740,Pelicans
2021-03-01,1610612740,2020,129.0,0.565,0.7829999999999999,0.636,27.0,53.0,1610612762,124.0,0.455,0.833,0.395,26.0,39.0,1,1610612740,Pelicans
2021-02-24,1610612740,2020,128.0,0.556,0.621,0.435,31.0,45.0,1610612765,118.0,0.528,0.688,0.361,31.0,38.0,1,1610612740,Pelicans
2021-02-21,1610612740,2020,120.0,0.447,0.6759999999999999,0.306,22.0,52.0,1610612738,115.0,0.3979999999999999,0.794,0.27,22.0,49.0,1,1610612740,Pelicans
2021-02-19,1610612740,2020,114.0,0.512,0.792,0.344,28.0,37.0,1610612756,132.0,0.58,0.667,0.564,38.0,37.0,0,1610612740,Pelicans
2021-02-17,1610612740,2020,124.0,0.483,0.7929999999999999,0.469,25.0,51.0,1610612757,126.0,0.511,0.889,0.439,26.0,31.0,0,1610612740,Pelicans
2021-02-09,1610612740,2020,130.0,0.511,0.857,0.387,31.0,55.0,1610612745,101.0,0.418,0.5710000000000001,0.302,24.0,37.0,1,1610612740,Pelicans
2021-02-06,1610612740,2020,118.0,0.517,0.619,0.455,27.0,42.0,1610612763,109.0,0.444,0.8420000000000001,0.3329999999999999,27.0,45.0,1,1610612740,Pelicans
2021-02-03,1610612740,2020,123.0,0.511,0.81,0.424,30.0,44.0,1610612756,101.0,0.4629999999999999,0.85,0.2289999999999999,26.0,39.0,1,1610612740,Pelicans
2021-02-01,1610612740,2020,109.0,0.396,0.833,0.3,22.0,46.0,1610612758,118.0,0.477,0.769,0.326,31.0,52.0,0,1610612740,Pelicans
2021-01-30,1610612740,2020,112.0,0.451,0.621,0.293,27.0,48.0,1610612745,126.0,0.489,0.8,0.435,32.0,45.0,0,1610612740,Pelicans
2021-01-29,1610612740,2020,131.0,0.469,0.7140000000000001,0.4379999999999999,32.0,45.0,1610612749,126.0,0.5,0.773,0.371,29.0,49.0,1,1610612740,Pelicans
2021-01-27,1610612740,2020,124.0,0.517,0.625,0.395,27.0,50.0,1610612764,106.0,0.402,0.905,0.342,29.0,39.0,1,1610612740,Pelicans
2021-01-08,1610612740,2020,110.0,0.494,0.731,0.395,29.0,36.0,1610612766,118.0,0.471,0.8,0.381,33.0,45.0,0,1610612740,Pelicans
2021-01-06,1610612740,2020,110.0,0.494,0.7829999999999999,0.182,25.0,52.0,1610612760,111.0,0.46,0.75,0.413,28.0,38.0,0,1610612740,Pelicans
2021-01-04,1610612740,2020,116.0,0.436,0.792,0.3329999999999999,26.0,57.0,1610612754,118.0,0.484,0.6920000000000001,0.422,32.0,42.0,0,1610612740,Pelicans
2021-01-02,1610612740,2020,120.0,0.422,0.7659999999999999,0.368,26.0,50.0,1610612761,116.0,0.418,0.963,0.292,21.0,40.0,1,1610612740,Pelicans
2020-12-27,1610612740,2020,98.0,0.3829999999999999,0.7240000000000001,0.208,15.0,56.0,1610612759,95.0,0.4270000000000001,1.0,0.306,26.0,47.0,1,1610612740,Pelicans
2020-12-18,1610612740,2020,127.0,0.512,0.614,0.364,25.0,51.0,1610612749,113.0,0.422,0.9,0.25,21.0,44.0,1,1610612740,Pelicans
2020-08-09,1610612740,2019,113.0,0.438,0.773,0.4,30.0,48.0,1610612759,122.0,0.449,0.969,0.393,22.0,51.0,0,1610612740,Pelicans
2020-08-07,1610612740,2019,118.0,0.477,0.846,0.343,25.0,45.0,1610612764,107.0,0.422,0.913,0.37,22.0,40.0,1,1610612740,Pelicans
2020-08-03,1610612740,2019,109.0,0.451,0.615,0.379,25.0,49.0,1610612763,99.0,0.398,0.867,0.279,25.0,43.0,1,1610612740,Pelicans
2020-07-30,1610612740,2019,104.0,0.426,0.722,0.355,22.0,45.0,1610612762,106.0,0.44,0.857,0.235,17.0,43.0,0,1610612740,Pelicans
2020-07-25,1610612740,2019,119.0,0.506,0.741,0.417,37.0,43.0,1610612743,104.0,0.393,0.6759999999999999,0.355,21.0,46.0,1,1610612740,Pelicans
2020-03-06,1610612740,2019,110.0,0.418,0.7140000000000001,0.368,28.0,53.0,1610612748,104.0,0.43,0.677,0.273,27.0,45.0,1,1610612740,Pelicans
2020-03-03,1610612740,2019,134.0,0.52,0.593,0.359,37.0,44.0,1610612750,139.0,0.557,0.85,0.412,31.0,42.0,0,1610612740,Pelicans
2020-03-01,1610612740,2019,114.0,0.421,0.818,0.2189999999999999,24.0,52.0,1610612747,122.0,0.515,0.9,0.371,23.0,36.0,0,1610612740,Pelicans
2020-02-28,1610612740,2019,116.0,0.545,0.733,0.391,36.0,49.0,1610612739,104.0,0.4529999999999999,0.583,0.355,27.0,34.0,1,1610612740,Pelicans
2020-02-13,1610612740,2019,118.0,0.488,0.741,0.4,31.0,46.0,1610612760,123.0,0.5,0.818,0.481,28.0,40.0,0,1610612740,Pelicans
2020-02-11,1610612740,2019,138.0,0.5329999999999999,0.813,0.412,40.0,50.0,1610612757,117.0,0.473,0.7859999999999999,0.241,21.0,40.0,1,1610612740,Pelicans
2020-02-04,1610612740,2019,108.0,0.384,0.75,0.286,26.0,49.0,1610612749,120.0,0.471,0.765,0.306,34.0,53.0,0,1610612740,Pelicans
2020-01-31,1610612740,2019,139.0,0.537,0.846,0.441,30.0,57.0,1610612763,111.0,0.469,0.5770000000000001,0.194,17.0,34.0,1,1610612740,Pelicans
2020-01-26,1610612740,2019,123.0,0.478,0.655,0.444,31.0,54.0,1610612738,108.0,0.461,0.818,0.242,21.0,37.0,1,1610612740,Pelicans
2020-01-24,1610612740,2019,106.0,0.4629999999999999,0.6,0.444,24.0,45.0,1610612743,113.0,0.377,1.0,0.317,26.0,56.0,0,1610612740,Pelicans
2020-01-22,1610612740,2019,117.0,0.4639999999999999,0.7809999999999999,0.389,26.0,41.0,1610612759,121.0,0.506,0.8,0.407,17.0,44.0,0,1610612740,Pelicans
2020-01-18,1610612740,2019,130.0,0.535,0.639,0.366,32.0,48.0,1610612746,133.0,0.495,0.795,0.3229999999999999,22.0,36.0,0,1610612740,Pelicans
