,game_id,home_team_id,visitor_team_id,pts_home,fg_pct_home,ft_pct_home,fg3_pct_home,ast_home,reb_home,pts_away,fg_pct_away,ft_pct_away,fg3_pct_away,ast_away,reb_away,date,total1,hit_over
1080,21200130,1610612747,1610612756,114.0,0.472,0.7859999999999999,0.381,25.0,48.0,102.0,0.489,0.467,0.357,27.0,38.0,2012-11-16,202.0,1
1090,21200129,1610612757,1610612745,119.0,0.512,0.7240000000000001,0.4,21.0,37.0,117.0,0.466,0.8390000000000001,0.36,24.0,47.0,2012-11-16,198.0,1
1100,21200128,1610612758,1610612737,96.0,0.4589999999999999,0.7140000000000001,0.4,25.0,37.0,112.0,0.5529999999999999,0.741,0.5329999999999999,24.0,42.0,2012-11-16,188.5,1
1110,21200127,1610612763,1610612752,105.0,0.487,0.813,0.3329999999999999,15.0,35.0,95.0,0.514,0.762,0.263,18.0,34.0,2012-11-16,191.0,1
1120,21200126,1610612750,1610612744,98.0,0.43,0.7929999999999999,0.389,19.0,34.0,106.0,0.506,0.6920000000000001,0.133,21.0,50.0,2012-11-16,186.0,1
1130,21200125,1610612740,1610612760,95.0,0.423,0.7859999999999999,0.583,23.0,40.0,110.0,0.541,0.8,0.483,31.0,36.0,2012-11-16,187.0,1
1140,21200123,1610612765,1610612753,106.0,0.537,0.8,0.25,21.0,30.0,110.0,0.494,0.882,0.412,27.0,44.0,2012-11-16,187.5,1
1150,21200124,1610612754,1610612742,103.0,0.47,0.613,0.375,23.0,46.0,83.0,0.37,0.84,0.154,16.0,44.0,2012-11-16,188.0,0
1160,21200122,1610612755,1610612762,99.0,0.46,0.9,0.556,20.0,43.0,93.0,0.444,0.778,0.318,23.0,40.0,2012-11-16,186.5,1
1170,21200131,1610612738,1610612761,107.0,0.5660000000000001,0.789,0.4,37.0,37.0,89.0,0.429,0.677,0.364,22.0,35.0,2012-11-17,187.5,1
1180,21200133,1610612764,1610612762,76.0,0.365,0.75,0.313,18.0,44.0,83.0,0.3779999999999999,0.7040000000000001,0.222,18.0,60.0,2012-11-17,189.5,0
1190,21200134,1610612766,1610612763,87.0,0.376,0.679,0.308,17.0,46.0,94.0,0.3879999999999999,0.882,0.143,17.0,44.0,2012-11-17,190.5,0
1200,21200135,1610612739,1610612742,95.0,0.375,0.75,0.32,21.0,38.0,103.0,0.514,0.85,0.435,26.0,42.0,2012-11-17,199.0,0
1210,21200138,1610612756,1610612748,88.0,0.43,0.7140000000000001,0.278,16.0,38.0,97.0,0.535,0.684,0.421,20.0,36.0,2012-11-17,203.0,0
1220,21200137,1610612759,1610612743,126.0,0.534,0.8,0.593,33.0,40.0,100.0,0.5,0.6920000000000001,0.364,19.0,39.0,2012-11-17,203.0,1
1230,21200132,1610612746,1610612741,101.0,0.493,0.733,0.313,21.0,41.0,80.0,0.337,0.818,0.143,18.0,45.0,2012-11-17,190.0,0
1240,21200136,1610612749,1610612740,117.0,0.462,0.75,0.52,28.0,41.0,113.0,0.532,0.955,0.476,32.0,36.0,2012-11-17,191.0,1
1250,21200141,1610612755,1610612739,86.0,0.425,0.75,0.45,27.0,41.0,79.0,0.357,0.933,0.25,14.0,48.0,2012-11-18,190.0,0
1260,21200139,1610612752,1610612754,88.0,0.3670000000000001,0.789,0.28,19.0,48.0,76.0,0.3939999999999999,0.667,0.4,21.0,47.0,2012-11-18,185.5,0
1270,21200140,1610612761,1610612753,97.0,0.475,0.609,0.389,22.0,40.0,86.0,0.4,0.857,0.308,18.0,40.0,2012-11-18,187.0,0
1280,21200143,1610612760,1610612744,119.0,0.506,0.846,0.65,31.0,40.0,109.0,0.524,0.818,0.313,23.0,35.0,2012-11-18,198.0,1
1290,21200146,1610612747,1610612745,119.0,0.541,0.643,0.45,27.0,41.0,108.0,0.489,0.611,0.391,30.0,42.0,2012-11-18,205.5,1
1300,21200144,1610612765,1610612738,103.0,0.542,0.8079999999999999,0.364,23.0,39.0,83.0,0.451,0.789,0.235,12.0,30.0,2012-11-18,188.5,0
1310,21200145,1610612757,1610612741,102.0,0.494,0.75,0.409,15.0,34.0,94.0,0.493,0.889,0.25,25.0,35.0,2012-11-18,191.0,1
1320,21200142,1610612758,1610612751,90.0,0.4629999999999999,0.526,0.3329999999999999,13.0,42.0,99.0,0.48,0.88,0.294,22.0,33.0,2012-11-18,192.5,0
1330,21200153,1610612762,1610612745,102.0,0.402,0.826,0.429,30.0,55.0,91.0,0.349,0.774,0.3329999999999999,18.0,49.0,2012-11-19,196.5,0
1340,21200152,1610612759,1610612746,87.0,0.354,0.821,0.3,16.0,42.0,92.0,0.471,0.579,0.083,13.0,52.0,2012-11-19,199.5,0
1350,21200151,1610612742,1610612744,101.0,0.43,0.708,0.476,24.0,43.0,105.0,0.407,0.733,0.375,19.0,62.0,2012-11-19,200.0,1
1360,21200150,1610612763,1610612743,92.0,0.462,0.8240000000000001,0.353,23.0,33.0,97.0,0.444,0.7140000000000001,0.3329999999999999,21.0,47.0,2012-11-19,196.0,0
1370,21200149,1610612737,1610612753,81.0,0.382,0.615,0.2,18.0,48.0,72.0,0.3779999999999999,0.5710000000000001,0.2,17.0,55.0,2012-11-19,186.0,0
